source_path,source_sha256,source_bytes,source_role,classification,destination_path,transformation,reason,consumers,validation
fixtures/invalid/audit2_transition_links_resolve.json,21fedd5ebaad598defb61c4a543ef212cdd7e271af56cae84e4a25478f581008,36878,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit2_transition_links_resolve.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit2_uncertainty_abstention_distinct.json,269f19cca5b40ec524b3f46bc27ddaff20e4c079b40d5403778470cc3d08a974,36885,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit2_uncertainty_abstention_distinct.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit2_update_before_after_policy_present.json,7185d2b802be3d28e74fc694868be2c4ba1943dcbc3544c12c81406028938a86,36888,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit2_update_before_after_policy_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit2_update_eligibility_valid.json,254a84d530f79b224516e5db5760d92e5f5a802eda467565246471636c8f2063,36878,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit2_update_eligibility_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit2_update_limitation_present.json,c8d0ef3175def0139c9d2e4f5ff87aba8eb14014771b5629d98a1ab91bb67e13,36879,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit2_update_limitation_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit2_update_reward_config_seed_present.json,82c12b65df5a33a8f6954c5e05273d4040544208dff4bddc74cc8346b4199854,36887,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit2_update_reward_config_seed_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit2_update_simulation_status_present.json,a1c9c42417c69fd66e2e654282c0bac6dce0755e1f4b60b4abf39e5957d664e8,36886,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit2_update_simulation_status_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit2_update_source_transition_present.json,028d344293e8f38007dbd9629f504d8a5bf6b6c9f57f68056decd0a5b3c75ccd,36886,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit2_update_source_transition_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_all_layer_matrix_complete.json,05dfdf418007f5f7892a7d8ada4bd7578e627afe8d3db3e22838a6a37b47b653,152,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_all_layer_matrix_complete.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_candidate_statement_interface_present.json,376ce7d844f8a12db365e45231192a308d9503290b0a10653c12d42e48512d88,176,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_candidate_statement_interface_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_claim_evidence_lineage_resolves.json,421b9b423ac8bf8f44a79de031561400d60cdfc315e321e17d9f9e584adc3457,164,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_claim_evidence_lineage_resolves.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_command_mapping_valid.json,3a8ffed3280b4becba79e1da813ef904a69d24ca1f7f958dc26c7e14a26389cb,144,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_command_mapping_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_demo_manifest_complete.json,851a30c6717d640cee1a15d38935f29643f5bf7ca35e7e15cc060352f0d421bf,146,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_demo_manifest_complete.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_embodiment_config_present.json,1644c0ad902f9a57b5289a40f45c5949b7ed10a7069fce4e492a598aeee1fec8,152,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_embodiment_config_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_embodiment_limitations_preserved.json,555c9c5a7933a1b47474fa0fe12f1db6d15c8c89e5d2da7c0749b15e812599c7,166,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_embodiment_limitations_preserved.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_embodiment_seed_present.json,1deb5d9b31a7d9177d8e7a65fe39da13ff1824ef8a24b99aee71244b8eb6970a,148,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_embodiment_seed_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_embodiment_state_outcome_links_resolve.json,48bb445527487e78a55c4643da55a4ed1d6e863e324918c9ee371ecc607547bb,178,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_embodiment_state_outcome_links_resolve.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_exports_traceable.json,0499923f2c42de2d714303d84c824b1191f7debfd8806205fc3ec60d9ddcd6bc,136,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_exports_traceable.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_figure_table_sources_resolve.json,81a1928041b5b239e506602b278ea9b782013b41594aa443b053679cc5a8f85a,158,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_figure_table_sources_resolve.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_future_artifact_contracts_complete.json,6a75a4301755ebed2658703e8f077114311d12ad48672aeae847ee825f171655,170,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_future_artifact_contracts_complete.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_future_evidence_map_ids_reserved.json,9a62e4983b9f91012c541c43b77c62aec1454ec12ecd9c4528a256ef92b54f1f,166,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_future_evidence_map_ids_reserved.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_future_release_handoff_slots_present.json,328ecf44e539f0b61e57c35dd2b2f309be1eb5fbe243ce576cdc9d22cf1714f6,174,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_future_release_handoff_slots_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_global_authority_config_source_chain.json,e585d33ea7171c8aa7f572083fecbd24861052f2b8b0641e7edce5796cbca388,174,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_global_authority_config_source_chain.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l0_3_chain_valid.json,ab775f0c1b95f6ec35b45afb891c08269ce72487c74d96608d849a7191de6e43,134,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l0_3_chain_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l10_card_warning_missing.json,a01a1845e9ca2124b0e4f991a30bc0f30eadeeb44a94bb1268633151bee79b68,71419,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l10_card_warning_missing.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l10_metric_recomputed.json,851bc847222dbbd56a5b1c324ca1861f295f790e2d7fa2bb22f3367d142785f0,71495,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l10_metric_recomputed.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l10_primary_evidence.json,d973b5b6f7fb93b58ebb425247d5f0eadd43988a20082c94562de621c10299c8,71492,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l10_primary_evidence.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l10_view_mutable.json,b8a11971a55777a26a3b5ac6575f57e0bc57b5f4c1eb8443ec7d3b01b5eee3c6,71491,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l10_view_mutable.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l3_7_chain_valid.json,2cf09c66bb04510fe3ba5b9c4879a31751d37ce7a3f12352af2e2d4fecee70b8,134,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l3_7_chain_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l7_10_chain_valid.json,a95a1553daddb71848021cb5284b8e7f2afe693cfde80354256ba0c9dfbc7e07,136,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l7_10_chain_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l7_l8_links_resolve.json,16ff4a97333903e67da9564bcdc9d9e3d4d05f313b94994e26d2228dc4fc74f7,140,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l7_l8_links_resolve.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l9_command_mapping_blocked.json,b1650c8a4c3eeffb9e59dd5982e765a73a1872353512e1d919f91196f436d34f,71498,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l9_command_mapping_blocked.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l9_missing_proxy_limitation.json,f5aa24195e04b61d2a437fbccbc0e8afb8629a4020effb040fc0b83fe00ea312,71441,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l9_missing_proxy_limitation.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l9_safety_not_simulation.json,d1d42e735b5c32b0bc07bea8fabd0f76af9ba3f5d447bd3061f3bdc74362a982,71498,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l9_safety_not_simulation.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_l9_unsafe_outcome_without_event.json,e981016ccf7488c85e4dc7bf768cc0e7b0670e7b00bea5a2443c674ec13b4693,71462,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_l9_unsafe_outcome_without_event.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_layer0_interface_present.json,0e3f4afe3357653674908a86501c2219e42f2d87b2b2df3b8ce9abc1f552d6ed,150,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_layer0_interface_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_layer10_interface_present.json,1439bf613f81768cdf2144162593f53fbc25ddf3b3ed022639cbce6fcd1c5f6b,152,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_layer10_interface_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_layer10_read_only.json,10cd307ed2086194421b4eace40af6bb0457db58cb3112a9f2f1d7c59640cb9a,136,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_layer10_read_only.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_layer10_source_immutable.json,ae33b377139253954c1266e9245ec45e4310f2160abb0733d3cecfffd09e8e24,150,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_layer10_source_immutable.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_limitations_warnings_preserved.json,88ed1728fbb5be52b69a7ab9e0427ca4feeeac2ca7448a850676153f8c1776fd,162,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_limitations_warnings_preserved.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_matched_comparison_preserved.json,d3c763f9e48da75a58fc95a3d03e2cd89ec0f352555437c848bc0931b70c831e,158,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_matched_comparison_preserved.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_metric_dictionary_resolves.json,2b93926215d3d19005b2801c1438e108d021b384640e86545364ce8f901a64c1,154,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_metric_dictionary_resolves.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_negatives_diagnostics_failures_visible.json,cd132457b8f45d86873a006d69081188d7e340c0098a228c20d0ae6ac65be133,178,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_negatives_diagnostics_failures_visible.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_no_real_world_claim.json,d6788153e71a9bf5ba4f011e93d254d954b31086870b002a04bde7209dfc7d3b,140,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_no_real_world_claim.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_no_unauthorized_recomputation.json,20e6746d53077f9d23cc51b392e03623cc54d980b5b9660f57e312998b9abc68,160,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_no_unauthorized_recomputation.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_phase_status_views_nonfinal.json,af70f0cd14b16ae9236e808dd32d8ea45bd5bc404b5a1997b9242e8b5e75260f,156,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_phase_status_views_nonfinal.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_platform_identity_present.json,f049bfe534e49bcdb527df8351bade9ecd7c16b85644d8c878d903e0647dddf0,152,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_platform_identity_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_provenance_complete.json,da65d6be2b4362b07acbbd5fabc06f527e43b50cbb488d4478e513971092673d,140,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_provenance_complete.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_reproduction_manifest_complete.json,abd8af2f10071b51e9012658a961e8ad5577983e58059a90a81bb6c0afb2b014,162,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_reproduction_manifest_complete.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_run_manifest_complete.json,21a1cdf8b9a5b365b1f5afca8e4de43ebc20fab088e1fa888bf2b21bb2d8d8d1,144,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_run_manifest_complete.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_safety_reward_links_resolve.json,bc9b29070cefe61eda0be72756358bb601a78dcb1c7b7b1e5a11fe8184539855,156,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_safety_reward_links_resolve.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_simulator_failure_preserved.json,aed34a099c1e865269322dc8fdcdc5b7442b2cbeaf08c8bf5cb595d7861ef029,156,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_simulator_failure_preserved.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_source_bundles_valid.json,bd0f819a449026b4dff82096b7fa8a54a40d886b6fa9df7d80d36c51df76c9b2,142,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_source_bundles_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_source_inventory_valid.json,ad79f6513ada78de6d4c8752211259843cb495c6d9c16eb1e1ebd049813b12e3,146,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_source_inventory_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_clean_source_overwrite.json,1f463f7216ceaf6a7ce8064da675b1012134b98d05a7eb93920f625af5cffea2,71502,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_clean_source_overwrite.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_clean_source_present.json,620fb6a58f99e47cdec382f87aee976dc018a016cf896067aa62938b9f8d73bd,156,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_clean_source_present.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_identity_reuse_valid.json,9ee75ccf163a4a31a9870ece087f365b1b91f18617bb5bec641539f29a51d013,156,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_identity_reuse_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_injection_valid.json,59683ecd4ea5666a8a6884c114a477b19c78a5dc3452aa42886b05aa6e73287c,146,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_injection_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_intensity_valid.json,a87347db456a0e16e33c72f71342100c594ecec86d5b67fdeae792496a54d8be,146,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_intensity_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_limitation_preserved.json,7fb6f2e5a481d4047b9dfa8257dcd6ce4eeafd9290a73e3e718762fbdc68c268,156,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_limitation_preserved.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_lineage_resolves.json,924d6d1d960bf214e6309f37fd58e40e5aa220df4a5067c295a45a4371981fa4,148,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_lineage_resolves.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_matching_valid.json,7a9d3c5013d31ba406ba199d384a590fff732275be7e21155292926a31d8fa7f,144,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_matching_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_pair_unmatched.json,ca22fdc689740fe87d8e91820a5ca459aa5a690c80a44341a807a409a2434eff,71497,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_pair_unmatched.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_profile_incomplete.json,b8d626755709ad662e0b1981784197d1547dd0ca967bbaa44fa31b4cd740ea1b,71454,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_profile_incomplete.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_profile_schedule_consistent.json,d520a51e78002870887e675e45caa1aff3b8644cc768d8548153ed88aff9042f,170,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_profile_schedule_consistent.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_schedule_empty.json,b51c8520d60477887d652df4a9565971a439c38d8cf2e38a7f94fc0bf9c00e4d,71327,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_schedule_empty.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
fixtures/invalid/audit3_stress_schedule_valid.json,c2e281e496b9633a133af6df3b0357111d03b55363c1729a9c4a26a71d5d8bd8,144,FIXTURE,MAIN_TREE_DIRECT,fixtures/invalid/audit3_stress_schedule_valid.json,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
